[HeightDebug] world=(-15,6) finalSurfaceY=83 originalSurfaceY=83 rawHeight=82.7027 creepOffset=-0.00850987 netDelta=0 neighborAvg=82.875 seaLevelDelta=63 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.984908 roughAmp=0.45193 hillAmp=0.645497 mountainAmp=0.542924 blends= [0] biome=little_mountains weight=0.984908 aggHeight=85.3226 normDist=0.713693 radius=269.901 worldDist=192.627 isOcean=false [1] biome=desert weight=0.012865 aggHeight=31.1167 normDist=0.906715 radius=353.785 worldDist=320.782 isOcean=false [2] biome=little_mountains weight=0.00213371 aggHeight=108.632 normDist=0.940825 radius=175.825 worldDist=165.421 isOcean=false [3] biome=ocean weight=9.31047e-05 aggHeight=-44.6162 normDist=0.973104 radius=520 worldDist=506.014 isOcean=true
[HeightDebug] world=(-15,7) finalSurfaceY=82 originalSurfaceY=82 rawHeight=82.4373 creepOffset=0.0424986 netDelta=0 neighborAvg=82.625 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.986987 roughAmp=0.451659 hillAmp=0.646128 mountainAmp=0.543916 blends= [0] biome=little_mountains weight=0.986987 aggHeight=85.3226 normDist=0.710483 radius=269.901 worldDist=191.76 isOcean=false [1] biome=desert weight=0.0110613 aggHeight=31.1167 normDist=0.909315 radius=353.785 worldDist=321.702 isOcean=false [2] biome=little_mountains weight=0.00185726 aggHeight=108.632 normDist=0.942285 radius=175.825 worldDist=165.677 isOcean=false [3] biome=ocean weight=9.48462e-05 aggHeight=-44.6162 normDist=0.972706 radius=520 worldDist=505.807 isOcean=true
[HeightDebug] world=(-15,8) finalSurfaceY=82 originalSurfaceY=82 rawHeight=82.2562 creepOffset=0.0169817 netDelta=0 neighborAvg=82.25 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.988813 roughAmp=0.451422 hillAmp=0.646681 mountainAmp=0.544785 blends= [0] biome=little_mountains weight=0.988813 aggHeight=85.3226 normDist=0.707278 radius=269.901 worldDist=190.895 isOcean=false [1] biome=desert weight=0.0094814 aggHeight=31.1167 normDist=0.911916 radius=353.785 worldDist=322.622 isOcean=false [2] biome=little_mountains weight=0.00160935 aggHeight=108.632 normDist=0.943777 radius=175.825 worldDist=165.94 isOcean=false [3] biome=ocean weight=9.6518e-05 aggHeight=-44.6162 normDist=0.972313 radius=520 worldDist=505.603 isOcean=true
[HeightDebug] world=(-15,9) finalSurfaceY=82 originalSurfaceY=82 rawHeight=82.0274 creepOffset=0 netDelta=0 neighborAvg=82 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.990413 roughAmp=0.451215 hillAmp=0.647164 mountainAmp=0.545544 blends= [0] biome=little_mountains weight=0.990413 aggHeight=85.3226 normDist=0.704078 radius=269.901 worldDist=190.032 isOcean=false [1] biome=desert weight=0.00810094 aggHeight=31.1167 normDist=0.914519 radius=353.785 worldDist=323.543 isOcean=false [2] biome=little_mountains weight=0.00138783 aggHeight=108.632 normDist=0.945301 radius=175.825 worldDist=166.208 isOcean=false [3] biome=ocean weight=9.81194e-05 aggHeight=-44.6162 normDist=0.971923 radius=520 worldDist=505.4 isOcean=true
[HeightDebug] world=(-15,10) finalSurfaceY=82 originalSurfaceY=82 rawHeight=81.9077 creepOffset=0 netDelta=0 neighborAvg=82 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.991812 roughAmp=0.451035 hillAmp=0.647586 mountainAmp=0.546206 blends= [0] biome=little_mountains weight=0.991812 aggHeight=85.3226 normDist=0.700883 radius=269.901 worldDist=189.169 isOcean=false [1] biome=desert weight=0.00689764 aggHeight=31.1167 normDist=0.917123 radius=353.785 worldDist=324.464 isOcean=false [2] biome=little_mountains weight=0.00119067 aggHeight=108.632 normDist=0.946856 radius=175.825 worldDist=166.481 isOcean=false [3] biome=ocean weight=9.96522e-05 aggHeight=-44.6162 normDist=0.971537 radius=520 worldDist=505.199 isOcean=true
[HeightDebug] world=(-15,11) finalSurfaceY=82 originalSurfaceY=82 rawHeight=81.6448 creepOffset=0 netDelta=0 neighborAvg=82 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.993032 roughAmp=0.450878 hillAmp=0.647952 mountainAmp=0.546781 blends= [0] biome=little_mountains weight=0.993032 aggHeight=85.3226 normDist=0.697693 radius=269.901 worldDist=188.308 isOcean=false [1] biome=desert weight=0.00585153 aggHeight=31.1167 normDist=0.919729 radius=353.785 worldDist=325.386 isOcean=false [2] biome=little_mountains weight=0.00101591 aggHeight=108.632 normDist=0.948444 radius=175.825 worldDist=166.76 isOcean=false [3] biome=ocean weight=0.000101119 aggHeight=-44.6162 normDist=0.971154 radius=520 worldDist=505 isOcean=true
[HeightDebug] world=(-15,12) finalSurfaceY=82 originalSurfaceY=82 rawHeight=81.5239 creepOffset=0 netDelta=0 neighborAvg=82 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.994091 roughAmp=0.450742 hillAmp=0.648269 mountainAmp=0.54728 blends= [0] biome=little_mountains weight=0.994091 aggHeight=85.3226 normDist=0.694508 radius=269.901 worldDist=187.449 isOcean=false [1] biome=desert weight=0.0049446 aggHeight=31.1167 normDist=0.922335 radius=353.785 worldDist=326.308 isOcean=false [2] biome=little_mountains weight=0.000861664 aggHeight=108.632 normDist=0.950062 radius=175.825 worldDist=167.045 isOcean=false [3] biome=ocean weight=0.000102521 aggHeight=-44.6162 normDist=0.970775 radius=520 worldDist=504.803 isOcean=true
[HeightDebug] world=(-15,13) finalSurfaceY=82 originalSurfaceY=82 rawHeight=81.565 creepOffset=-0.00846091 netDelta=0 neighborAvg=81.875 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.995009 roughAmp=0.450624 hillAmp=0.648544 mountainAmp=0.547711 blends= [0] biome=little_mountains weight=0.995009 aggHeight=85.3226 normDist=0.691328 radius=269.901 worldDist=186.59 isOcean=false [1] biome=desert weight=0.00416065 aggHeight=31.1167 normDist=0.924943 radius=353.785 worldDist=327.231 isOcean=false [2] biome=little_mountains weight=0.000726172 aggHeight=108.632 normDist=0.951712 radius=175.825 worldDist=167.335 isOcean=false [3] biome=ocean weight=0.000103857 aggHeight=-44.6162 normDist=0.9704 radius=520 worldDist=504.608 isOcean=true
[HeightDebug] world=(-15,14) finalSurfaceY=82 originalSurfaceY=82 rawHeight=81.5381 creepOffset=-0.0338284 netDelta=0 neighborAvg=81.5 seaLevelDelta=62 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.995802 roughAmp=0.450523 hillAmp=0.64878 mountainAmp=0.548083 blends= [0] biome=little_mountains weight=0.995802 aggHeight=85.3226 normDist=0.688154 radius=269.901 worldDist=185.734 isOcean=false [1] biome=desert weight=0.00348514 aggHeight=31.1167 normDist=0.927553 radius=353.785 worldDist=328.154 isOcean=false [2] biome=little_mountains weight=0.000607748 aggHeight=108.632 normDist=0.953393 radius=175.825 worldDist=167.631 isOcean=false [3] biome=ocean weight=0.000105131 aggHeight=-44.6162 normDist=0.970028 radius=520 worldDist=504.415 isOcean=true
[HeightDebug] world=(-15,15) finalSurfaceY=81 originalSurfaceY=81 rawHeight=81.4007 creepOffset=0.0169077 netDelta=0 neighborAvg=81.25 seaLevelDelta=61 distanceToShore=inf dominantIsOcean=false coastDistance=inf dominantBiome=little_mountains weight=0.996484 roughAmp=0.450436 hillAmp=0.648983 mountainAmp=0.548402 blends= [0] biome=little_mountains weight=0.996484 aggHeight=85.3226 normDist=0.684985 radius=269.901 worldDist=184.878 isOcean=false [1] biome=desert weight=0.00290506 aggHeight=31.1167 normDist=0.930163 radius=353.785 worldDist=329.077 isOcean=false [2] biome=little_mountains weight=0.000504798 aggHeight=108.632 normDist=0.955105 radius=175.825 worldDist=167.932 isOcean=false [3] biome=ocean weight=0.000106345 aggHeight=-44.6162 normDist=0.96966 radius=520 worldDist=504.223 isOcean=true
